Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Egypt, Arab Rep.",EGY,GDP per capita (current US$),NY.GDP.PCAP.CD,3025.52563552448,3133.39102265541,3306.98159414141,3270.6287768197,2395.10333299491,2484.70315630508,2962.98892023003,3511.11381026379,3827.35415374308,4233.30783744856,3456.78965212363,3338.47371043679,3085.80712036204
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,6222.74194840326,5672.06372896319,4952.73355532178,5710.59947089104,6000.93346404409,4783.01067340237,3997.4935449585,3202.50003502169,4605.14881318992,4721.20437099984,5049.29931642754,5190.16959024821,3924.38017821898
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,7331.65467384919,6856.73137092522,6112.27382485974,5651.20585165749,6618.33508255701,6914.1780318076,6533.71121032856,5580.60383075189,6828.75624590017,6534.24867783397,6034.27208964673,6267.186814093,6597.71450918774
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,2872.79083379398,3088.72131316169,2585.73360671797,2070.4127339595,1876.34027111773,2057.87944554011,3189.81286496183,2797.184580679,2787.48779220991,2899.16047469267,2138.76383718757,1084.16041805058,1224.25410237743
Kenya,KEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1370.87885214659,1482.81566253497,1489.11959777284,1554.12610314423,1667.48447230835,1836.45275528993,1960.40808854893,1927.66459027849,2061.35622089594,2109.56288513137,1942.58802756191,2133.46193404026,2362.86091198611
Ethiopia,ETH,GDP per capita (current US$),NY.GDP.PCAP.CD,484.039833104062,549.986577082588,597.912113218663,641.651523286233,696.348429076216,739.702022272086,793.473247218996,829.790982552951,893.009835441784,982.103161502198,1055.81091593061,1133.88279681256,932.729352775179
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,460.370334930107,489.175952097319,495.826633014883,459.765036590388,431.052559128788,518.169626875371,504.00419142286,486.425572682256,595.743074403567,687.738587554685,660.21205238997,692.887665085098,806.776000708534
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,15941.4482421875,14055.47265625,9277.7138671875,8663.158203125,10658.9130859375,11211.8876953125,11447.701171875,10108.3271484375,12425.029296875,15625.6328125,13986.9951171875,14961.8974609375,17546.609375
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4712.00229382665,4830.33486170249,4086.6223465965,4143.40125686315,4418.75206546679,4804.0546040444,4741.2832715876,4300.85701291207,5083.60695484577,6729.84659930283,8283.66960652261,8967.67525638987,9691.53472415196
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,13478.459627612,12427.7094576939,10196.1226255982,7475.56688689424,8943.08416791984,9472.48527327758,9457.12614657136,8781.50797787648,9983.60103576902,11255.3396437881,12879.4275257974,14154.6324958076,14692.1331757237
